,id,gender_male,gender_female,age_<=18,age_19-29,age_30-39,age_>=40,org_non-org,org_is-org
2543,1567625875926941698,0.9924286,0.0075713913,0.1512693,0.61099184,0.100517355,0.13722153,0.99800676,0.0019932608
2544,1567607444393832448,0.006875942,0.99312407,0.05535887,0.25740612,0.06399576,0.6232392,0.99440235,0.005597622
2545,1567595540128350210,0.6932904,0.3067096,0.03440137,0.18327828,0.36060894,0.4217114,0.9480621,0.051937938
2546,1567593698904444928,0.96251446,0.037485585,0.046002135,0.16618046,0.20023642,0.58758104,0.98652446,0.013475576
2547,1567586464917082117,0.99790704,0.0020930336,0.07253072,0.33559605,0.5193546,0.07251869,0.9963303,0.0036697309
2548,1567583183666876416,0.004892249,0.99510777,0.013917649,0.098145016,0.53921723,0.34872004,0.9969511,0.0030488318
2549,1567663125994045441,0.76173586,0.23826413,0.001288311,0.003338231,0.002653361,0.9927201,0.98362756,0.016372442
2550,1567641547541303297,0.99986327,0.00013672505,1.07018905e-05,1.9962612e-05,0.00013795658,0.9998313,0.98932576,0.0106741665
2551,1567632291890974723,0.7223275,0.27767247,0.41803607,0.5390507,0.01391549,0.028997852,0.8104209,0.18957914
2552,1567673948753600512,0.9704658,0.029534226,0.12372553,0.44068405,0.3016093,0.1339811,0.9989926,0.0010073978
2553,1567670089087860739,0.9994318,0.00056816015,6.212248e-06,4.287089e-05,8.699999e-05,0.99986386,0.99939084,0.0006090866
2554,1567777606560260098,0.0009531344,0.99904686,0.0006636091,0.00038234255,0.0011179635,0.99783605,0.9892125,0.010787488
2555,1567712593015439362,0.99981874,0.00018130984,0.00029210112,0.00569344,0.0015921275,0.9924224,0.9996092,0.00039088758
2556,1567857430553296898,0.9998116,0.00018841818,0.020737827,0.4370813,0.4120012,0.13017967,0.99464625,0.0053537274
2557,1567854285781700612,0.9967384,0.0032616511,0.00041238798,0.00046442274,0.000821385,0.99830174,0.9946286,0.0053713913
2558,1567831244867600386,0.9999231,7.691032e-05,0.001487164,0.012153244,0.048284117,0.9380755,0.99559516,0.0044048154
2559,1567909521636327424,0.0012227468,0.9987772,1.9521725e-05,1.7772498e-05,0.00016571739,0.99979705,0.99827456,0.0017254313
2560,1567973704554135553,0.0010061825,0.9989938,0.00016619121,0.000441413,0.0009789702,0.99841344,0.9917767,0.008223313
2561,1567958567134822401,0.0010468229,0.9989531,0.000104216735,0.0005954454,0.0010087494,0.99829155,0.99072766,0.009272345
2562,1567944570977263617,0.5535518,0.44644824,0.47929108,0.51077473,0.0076838247,0.0022503436,0.9977907,0.002209247
2563,1567942415352315906,0.652134,0.34786603,0.015721917,0.117730595,0.75193346,0.11461407,0.98233646,0.01766354
2564,1567936965605031940,0.9800274,0.01997257,0.104552664,0.25445908,0.11115899,0.5298292,0.979478,0.020522023
2565,1568022777424388098,0.000730801,0.9992692,6.5179192e-06,2.3216e-05,0.00010118394,0.9998691,0.99494725,0.005052759
2566,1568011665337364480,0.99010086,0.009899158,0.6032372,0.37789115,0.016409878,0.0024617051,0.99977154,0.00022844874
2567,1568010539154157568,0.99996746,3.25114e-05,0.008041353,0.07800085,0.055401213,0.8585566,0.99742717,0.0025728287
2568,1568003351475888128,0.99870825,0.001291717,0.015369681,0.54135484,0.37069297,0.07258249,0.99345195,0.006547987
2569,1567994690087051274,0.99998605,1.4006597e-05,0.006311461,0.13414155,0.2948273,0.5647197,0.99656725,0.0034327179
2570,1567987990558826497,0.059474118,0.9405259,0.56862915,0.3981011,0.020568654,0.012701124,0.99813014,0.0018698544
2571,1568079797997211649,0.8926108,0.10738923,0.53973174,0.32714468,0.07206377,0.061059784,0.97833323,0.021666724
2572,1568062663409766404,0.99767536,0.0023246594,0.00078448333,0.001909587,0.00571824,0.9915877,0.99629515,0.0037047912
2573,1568237332217618433,0.9877571,0.012242878,0.0005769615,0.0012323686,0.0016736006,0.99651706,0.67368585,0.32631418
2574,1568218364212035584,0.6318175,0.36818245,0.15023409,0.5327925,0.29813173,0.018841734,0.98536474,0.01463522
2575,1568217390927814656,0.98972195,0.010278101,0.0030497746,0.02895576,0.21413882,0.75385565,0.9188589,0.08114113
2576,1568211192900120577,0.00016641158,0.9998336,9.5122894e-05,0.0002780194,0.0019008712,0.997726,0.9983746,0.0016254213
2577,1568209473826705414,0.9809505,0.019049482,0.0073186867,0.017512988,0.014216052,0.9609523,0.9950938,0.0049061854
2578,1568208404954447873,0.99739754,0.0026024054,0.0006838478,0.0027013244,0.0037477235,0.9928671,0.9963575,0.0036424738
2579,1568285400925409281,0.9999161,8.3940075e-05,0.020855801,0.12953149,0.64509135,0.20452137,0.9986084,0.0013915958
2580,1568264763192246274,0.99899286,0.0010070844,0.0020858594,0.0057885204,0.009483744,0.9826418,0.9979425,0.0020575312
2581,1568250036097789955,0.9922415,0.007758521,0.0011706123,0.0034111396,0.009545781,0.98587245,0.99777216,0.002227794
2582,1568238496586039296,0.9948827,0.0051172627,0.014935603,0.16712569,0.087827384,0.7301113,0.9977877,0.0022122231
2583,1568329333370146817,0.9987072,0.001292773,0.003757815,0.004091377,0.008023257,0.9841276,0.99817395,0.0018259916
2584,1568376176074280960,0.9773577,0.022642389,0.0005202277,0.0008045505,0.0011049737,0.9975702,0.9898629,0.010137123
2585,1568374017647583238,0.9773577,0.022642378,0.0005202277,0.0008045505,0.0011049742,0.9975702,0.9898629,0.010137128
2586,1568370632227782656,0.9939161,0.0060839523,0.14047395,0.80460954,0.03469841,0.020218063,0.9994456,0.00055433216
2587,1568431351694782464,0.99985754,0.00014246798,0.0002200667,0.00069785345,0.0009776504,0.99810445,0.9939143,0.0060856445
2588,1568424316131311616,0.9773577,0.022642378,0.0005202277,0.0008045505,0.0011049737,0.9975702,0.9898629,0.010137128
2589,1568412261408034816,0.9773577,0.022642378,0.0005202277,0.0008045505,0.0011049737,0.9975702,0.9898629,0.010137128
2590,1568396364102664192,0.093298644,0.9067014,0.019689625,0.028703721,0.03334921,0.9182575,0.9891188,0.010881143
2591,1568621756428218368,0.99648106,0.003518904,0.07063738,0.36841813,0.25114873,0.3097958,0.99361163,0.0063883206
2592,1568620332168417280,0.99859506,0.0014049407,0.007872326,0.01797605,0.049803127,0.92434853,0.9981741,0.001825882
2593,1568596933593255936,0.9998116,0.00018841801,0.020737827,0.4370814,0.41200113,0.13017961,0.99464625,0.0053537274
2594,1568676775458402305,0.0022163836,0.9977836,0.0023833355,0.0054947278,0.06465087,0.9274711,0.99843234,0.0015676372
2595,1568648503802621953,0.9960914,0.003908518,7.232011e-05,8.943501e-05,0.0002823371,0.9995559,0.9970151,0.00298487
2596,1568714032894320643,0.10231593,0.89768404,0.053022828,0.058215663,0.13574411,0.7530174,0.9977574,0.0022426813
2597,1568755155415306240,0.99906594,0.0009340268,0.10330774,0.26680297,0.3823517,0.24753761,0.998254,0.0017460354
2598,1568731940294909953,0.0014392876,0.9985607,0.007039554,0.07210533,0.13914885,0.7817063,0.9999261,7.3932206e-05
2599,1568807618243866624,0.9964768,0.0035232042,0.019115575,0.07023657,0.1794866,0.7311612,0.98843783,0.011562154
2600,1568990091602960387,0.99739647,0.0026035742,0.0009097495,0.013897089,0.0091874,0.9760058,0.99713206,0.0028679
2601,1568948490486571011,0.888966,0.11103394,0.16197065,0.2784235,0.041072387,0.5185335,0.99065596,0.009344053
2602,1568931029733507078,0.99979705,0.00020298657,0.020039795,0.18741158,0.5987535,0.19379514,0.99735224,0.0026477429
2603,1569015173293215749,0.99739647,0.0026035742,0.0009097495,0.013897089,0.0091874,0.9760058,0.99713206,0.0028679
2604,1568995643204534273,0.999747,0.00025298915,1.8448702e-06,7.619145e-07,7.254379e-07,0.99999666,0.9976562,0.0023437587
2605,1569053391351087104,0.0018739528,0.9981261,0.006421439,0.046299964,0.91211414,0.035164393,0.9907924,0.009207648
2606,1569052759315611648,0.9975606,0.0024393513,0.20960456,0.21896629,0.114451855,0.4569773,0.9910149,0.008985081
2607,1569044948082905088,0.0018739536,0.9981261,0.006421442,0.046299975,0.91211414,0.035164405,0.9907924,0.009207657
